date,county,type,num,id
4/16/20,"Lassen County, California",positive,0,372
4/16/20,"Los Angeles County, California",positive,10786,373
4/16/20,"Madera County, California",positive,34,374
4/16/20,"Marin County, California",positive,187,375
4/16/20,"Mariposa County, California",positive,0,376
4/16/20,"Mendocino County, California",positive,4,377
4/16/20,"Merced County, California",positive,82,378
4/16/20,"Modoc County, California",positive,0,379
4/16/20,"Mono County, California",positive,23,380
4/16/20,"Monterey County, California",positive,116,381
4/16/20,"Napa County, California",positive,44,382
4/16/20,"Nevada County, California",positive,34,383
4/16/20,"Orange County, California",positive,1439,384
4/16/20,"Placer County, California",positive,129,385
4/16/20,"Plumas County, California",positive,4,386
4/16/20,"Riverside County, California",positive,1913,387
4/16/20,"Sacramento County, California",positive,865,388
4/16/20,"San Benito County, California",positive,42,389
4/16/20,"San Bernardino County, California",positive,1032,390
4/16/20,"San Diego County, California",positive,2089,391
4/16/20,"San Francisco County, California",positive,1039,392
4/16/20,"San Joaquin County, California",positive,345,393
4/16/20,"San Luis Obispo County, California",positive,125,394
4/16/20,"San Mateo County, California",positive,745,395
4/16/20,"Santa Barbara County, California",positive,331,396
4/16/20,"Santa Clara County, California",positive,1789,397
4/16/20,"Santa Cruz County, California",positive,96,398
4/16/20,"Shasta County, California",positive,25,399
4/16/20,"Sierra County, California",positive,0,400
4/16/20,"Siskiyou County, California",positive,5,401
4/16/20,"Solano County, California",positive,162,402
4/16/20,"Sonoma County, California",positive,145,403
4/16/20,"Stanislaus County, California",positive,185,404
4/16/20,"Sutter County, California",positive,24,405
4/16/20,"Tehama County, California",positive,1,406
4/16/20,"Trinity County, California",positive,0,407
4/16/20,"Tulare County, California",positive,305,408
4/16/20,"Tuolumne County, California",positive,1,409
4/16/20,"Ventura County, California",positive,384,410
4/16/20,"Yolo County, California",positive,98,411
4/16/20,"Yuba County, California",positive,15,412
4/16/20,Unknown,positive,4,413
4/16/20,"Alameda County, California",death,44,414
4/16/20,"Alpine County, California",death,0,415
4/16/20,"Amador County, California",death,0,416
4/16/20,"Butte County, California",death,0,417
4/16/20,"Calaveras County, California",death,0,418
4/16/20,"Colusa County, California",death,0,419
4/16/20,"Contra Costa County, California",death,16,420
4/16/20,"Del Norte County, California",death,0,421
4/16/20,"El Dorado County, California",death,0,422
4/16/20,"Fresno County, California",death,7,423
4/16/20,"Glenn County, California",death,0,424
4/16/20,"Humboldt County, California",death,0,425
4/16/20,"Imperial County, California",death,3,426
4/16/20,"Inyo County, California",death,0,427
4/16/20,"Kern County, California",death,3,428
4/16/20,"Kings County, California",death,1,429
4/16/20,"Lake County, California",death,0,430
4/16/20,"Lassen County, California",death,0,431
4/16/20,"Los Angeles County, California",death,455,432
4/16/20,"Madera County, California",death,2,433
4/16/20,"Marin County, California",death,10,434
4/16/20,"Mariposa County, California",death,0,435
4/16/20,"Mendocino County, California",death,0,436
4/16/20,"Merced County, California",death,3,437
4/16/20,"Modoc County, California",death,0,438
4/16/20,"Mono County, California",death,1,439
4/16/20,"Monterey County, California",death,3,440
4/16/20,"Napa County, California",death,2,441
4/16/20,"Nevada County, California",death,1,442
4/16/20,"Orange County, California",death,26,443
4/16/20,"Placer County, California",death,8,444
4/16/20,"Plumas County, California",death,0,445
4/16/20,"Riverside County, California",death,65,446
4/16/20,"Sacramento County, California",death,32,447
4/16/20,"San Benito County, California",death,2,448
4/16/20,"San Bernardino County, California",death,47,449
4/16/20,"San Diego County, California",death,63,450
4/16/20,"San Francisco County, California",death,17,451
4/16/20,"San Joaquin County, California",death,17,452
4/16/20,"San Luis Obispo County, California",death,1,453
4/16/20,"San Mateo County, California",death,25,454
4/16/20,"Santa Barbara County, California",death,2,455
